"SliderCrank"
"PART_4: PART/4"

"Time      "	"PART_4_XFORM.ACCX"
1.740000e-02	1.620063e+07
1.750000e-02	1.626713e+07
1.760000e-02	1.632783e+07
1.770000e-02	1.638284e+07
1.780000e-02	1.643225e+07
1.790000e-02	1.647619e+07
1.800000e-02	1.651477e+07
1.810000e-02	1.654809e+07
1.820000e-02	1.657628e+07
1.830000e-02	1.659946e+07
1.840000e-02	1.661775e+07
1.850000e-02	1.663127e+07
1.860000e-02	1.664014e+07
1.870000e-02	1.664449e+07
1.880000e-02	1.664445e+07
1.890000e-02	1.664013e+07
1.900000e-02	1.663168e+07
1.910000e-02	1.661920e+07
1.920000e-02	1.660285e+07
1.930000e-02	1.658273e+07
1.940000e-02	1.655898e+07
1.950000e-02	1.653173e+07
1.960000e-02	1.650110e+07
1.970000e-02	1.646722e+07
1.980000e-02	1.643021e+07
1.990000e-02	1.639020e+07
2.000000e-02	1.634731e+07
2.010000e-02	1.630167e+07
2.020000e-02	1.625340e+07
2.030000e-02	1.620261e+07
2.040000e-02	1.614943e+07
2.050000e-02	1.609397e+07
2.060000e-02	1.603635e+07
2.070000e-02	1.597669e+07
2.080000e-02	1.591508e+07
2.090000e-02	1.585166e+07
2.100000e-02	1.578652e+07
2.110000e-02	1.571977e+07
2.120000e-02	1.565151e+07
2.130000e-02	1.558186e+07
2.140000e-02	1.551090e+07
2.150000e-02	1.543874e+07
2.160000e-02	1.536548e+07
2.170000e-02	1.529120e+07
2.180000e-02	1.521601e+07
2.190000e-02	1.513998e+07
2.200000e-02	1.506322e+07
2.210000e-02	1.498580e+07
2.220000e-02	1.490781e+07
2.230000e-02	1.482932e+07
2.240000e-02	1.475043e+07
2.250000e-02	1.467120e+07
2.260000e-02	1.459171e+07
2.270000e-02	1.451204e+07
2.280000e-02	1.443225e+07
2.290000e-02	1.435241e+07
2.300000e-02	1.427259e+07
2.310000e-02	1.419285e+07
2.320000e-02	1.411325e+07
2.330000e-02	1.403386e+07
2.340000e-02	1.395473e+07
2.350000e-02	1.387593e+07
2.360000e-02	1.379749e+07
2.370000e-02	1.371948e+07
2.380000e-02	1.364195e+07
2.390000e-02	1.356495e+07
2.400000e-02	1.348851e+07
2.410000e-02	1.341270e+07
