"  Pendulum"
"MEA_ANGLE_1: VARIABLE_CLASS/1"

"Time      "	"MEA_ANGLE_1.Q"
3.943000e+00	2.729663e+01
3.944000e+00	2.733467e+01
3.945000e+00	2.737244e+01
3.946000e+00	2.740996e+01
3.947000e+00	2.744721e+01
3.948000e+00	2.748421e+01
3.949000e+00	2.752095e+01
3.950000e+00	2.755743e+01
3.951000e+00	2.759365e+01
3.952000e+00	2.762961e+01
3.953000e+00	2.766531e+01
3.954000e+00	2.770075e+01
3.955000e+00	2.773593e+01
3.956000e+00	2.777084e+01
3.957000e+00	2.780550e+01
3.958000e+00	2.783989e+01
3.959000e+00	2.787402e+01
3.960000e+00	2.790789e+01
3.961000e+00	2.794149e+01
3.962000e+00	2.797483e+01
3.963000e+00	2.800791e+01
3.964000e+00	2.804072e+01
3.965000e+00	2.807327e+01
3.966000e+00	2.810556e+01
3.967000e+00	2.813757e+01
3.968000e+00	2.816933e+01
3.969000e+00	2.820082e+01
3.970000e+00	2.823204e+01
3.971000e+00	2.826300e+01
3.972000e+00	2.829369e+01
3.973000e+00	2.832412e+01
3.974000e+00	2.835428e+01
3.975000e+00	2.838417e+01
3.976000e+00	2.841380e+01
3.977000e+00	2.844316e+01
3.978000e+00	2.847225e+01
3.979000e+00	2.850107e+01
3.980000e+00	2.852962e+01
3.981000e+00	2.855791e+01
3.982000e+00	2.858593e+01
3.983000e+00	2.861368e+01
3.984000e+00	2.864115e+01
3.985000e+00	2.866837e+01
3.986000e+00	2.869531e+01
3.987000e+00	2.872198e+01
3.988000e+00	2.874838e+01
3.989000e+00	2.877451e+01
3.990000e+00	2.880037e+01
3.991000e+00	2.882596e+01
3.992000e+00	2.885128e+01
3.993000e+00	2.887632e+01
3.994000e+00	2.890110e+01
3.995000e+00	2.892560e+01
3.996000e+00	2.894984e+01
3.997000e+00	2.897380e+01
3.998000e+00	2.899749e+01
3.999000e+00	2.902090e+01
4.000000e+00	2.904405e+01
4.001000e+00	2.906692e+01
4.002000e+00	2.908952e+01
4.003000e+00	2.911184e+01
4.004000e+00	2.913389e+01
4.005000e+00	2.915567e+01
4.006000e+00	2.917717e+01
4.007000e+00	2.919840e+01
4.008000e+00	2.921936e+01
4.009000e+00	2.924004e+01
4.010000e+00	2.926045e+01
4.011000e+00	2.928058e+01
4.012000e+00	2.930044e+01
4.013000e+00	2.932002e+01
4.014000e+00	2.933933e+01
4.015000e+00	2.935836e+01
4.016000e+00	2.937712e+01
4.017000e+00	2.939560e+01
4.018000e+00	2.941381e+01
4.019000e+00	2.943174e+01
4.020000e+00	2.944939e+01
4.021000e+00	2.946677e+01
4.022000e+00	2.948387e+01
4.023000e+00	2.950069e+01
4.024000e+00	2.951724e+01
4.025000e+00	2.953351e+01
4.026000e+00	2.954951e+01
4.027000e+00	2.956522e+01
4.028000e+00	2.958066e+01
4.029000e+00	2.959582e+01
4.030000e+00	2.961071e+01
4.031000e+00	2.962532e+01
4.032000e+00	2.963965e+01
4.033000e+00	2.965370e+01
4.034000e+00	2.966747e+01
4.035000e+00	2.968097e+01
4.036000e+00	2.969418e+01
4.037000e+00	2.970712e+01
4.038000e+00	2.971978e+01
4.039000e+00	2.973216e+01
4.040000e+00	2.974427e+01
4.041000e+00	2.975609e+01
4.042000e+00	2.976764e+01
4.043000e+00	2.977890e+01
4.044000e+00	2.978989e+01
4.045000e+00	2.980060e+01
4.046000e+00	2.981103e+01
4.047000e+00	2.982118e+01
4.048000e+00	2.983105e+01
4.049000e+00	2.984064e+01
4.050000e+00	2.984995e+01
4.051000e+00	2.985898e+01
4.052000e+00	2.986773e+01
4.053000e+00	2.987620e+01
4.054000e+00	2.988440e+01
4.055000e+00	2.989231e+01
4.056000e+00	2.989994e+01
4.057000e+00	2.990729e+01
4.058000e+00	2.991437e+01
4.059000e+00	2.992116e+01
4.060000e+00	2.992767e+01
4.061000e+00	2.993390e+01
4.062000e+00	2.993985e+01
4.063000e+00	2.994552e+01
4.064000e+00	2.995091e+01
4.065000e+00	2.995602e+01
4.066000e+00	2.996085e+01
4.067000e+00	2.996540e+01
4.068000e+00	2.996966e+01
4.069000e+00	2.997365e+01
4.070000e+00	2.997736e+01
4.071000e+00	2.998078e+01
4.072000e+00	2.998393e+01
4.073000e+00	2.998679e+01
4.074000e+00	2.998937e+01
4.075000e+00	2.999168e+01
